StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Prolific_ID,age,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,uncued_recall,cued_recall,otf,issues,issues_2_TEXT,PROLIFIC_PID,useragent,city,state,postalcode
2024-10-12 00:39:45,2024-10-12 00:41:05,IP Address,73.71.80.241,100,79,True,2024-10-12 00:41:05,R_5hAwykVlWmW672c,,,,,37.374,-121.8595,anonymous,EN,66c5675abf53f88ce4c06bd9,29,Female,,Asian,,"Bose, Whomp","Bose,Nintendo,Whoop",The posts were funny.,No,,66c5675abf53f88ce4c06bd9,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,San Jose,CA,95133
2024-10-12 00:39:45,2024-10-12 00:41:37,IP Address,207.246.166.114,100,112,True,2024-10-12 00:41:37,R_7kNX5wLHuUxfjSa,,,,,40.4591,-90.6805,anonymous,EN,66345b09ea001b206337c602,22,Female,,Black or African American,,"nintendo, smart watch","Bose,Nintendo,Fitbit","i thought that the memes were pretty funny, just maybe a bit outdated.",No,,66345b09ea001b206337c602,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Macomb,IL,61455
2024-10-12 00:42:47,2024-10-12 00:43:18,IP Address,104.182.67.85,100,30,True,2024-10-12 00:43:19,R_3C2eMMTFuvwCUjD,,,,,32.7449,-117.165,anonymous,EN,628657b7caedf309ae8e806e,26,Male,,White or Caucasian,,Apple,Apple,There were some pretty funny memes,No,,628657b7caedf309ae8e806e,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1",San Diego,CA,92103
2024-10-12 00:42:30,2024-10-12 00:43:37,IP Address,73.42.161.252,100,67,True,2024-10-12 00:43:37,R_6EXS6TjarI8VjrQ,,,,,47.6176,-122.1424,anonymous,EN,63f7ac13d942e94c18c92d4b,25,Male,,Asian,,"Apple, Samsung","Apple,Nintendo,Samsung",I think sponsored content should be clearly indicated to help people differentiate and understand.,No,,63f7ac13d942e94c18c92d4b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Bellevue,WA,98004
2024-10-12 00:43:52,2024-10-12 00:45:20,IP Address,65.34.212.229,100,87,True,2024-10-12 00:45:20,R_1OHpoDwt2afCN60,,,,,27.3182,-80.3524,anonymous,EN,5fc6d0e5563ad810513c9c7a,22,Female,,White or Caucasian,,"Bose, Nintendo, Samsung","Bose,Apple,Nintendo,Samsung,Fitbit","There were a lot of memes that I related too and the ads weren't the most annoying ones I've seen, so I was happy.",No,,5fc6d0e5563ad810513c9c7a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36 OPR/113.0.0.0",Port Saint Lucie,FL,34953
2024-10-12 00:43:33,2024-10-12 00:45:23,IP Address,97.64.72.152,100,109,True,2024-10-12 00:45:24,R_5cskjoQZPAvFyrn,,,,,35.6096,-88.8143,anonymous,EN,656427c004ff9019381f0e21,26,Female,,Black or African American,,N/A,"Nintendo,Sony Playstation,Fitbit,Logitech",I liked the concepts that were shared on Twitter.,No,,656427c004ff9019381f0e21,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1",Jackson,TN,38301
2024-10-12 00:44:51,2024-10-12 00:45:46,IP Address,73.92.111.67,100,54,True,2024-10-12 00:45:46,R_6aSfTff7em3fwcN,,,,,37.4073,-121.939,anonymous,EN,65cb7c1cdf8ff14e2355c5e6,22,Female,,Asian,,n/a,I do not recall any sponsored posts,"my feed all consisted of memes. I really enjoyed it, it reminded me of memes I would love when I was younger",No,,65cb7c1cdf8ff14e2355c5e6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",San Jose,CA,95134
2024-10-12 00:44:53,2024-10-12 00:46:01,IP Address,69.77.149.179,100,67,True,2024-10-12 00:46:01,R_3ndcEIxpvDquRXu,,,,,36.3752,-81.4893,anonymous,EN,6703dfc4ad5997b1fef3dd71,29,Female,,White or Caucasian,,I don't know,I do not recall any sponsored posts,"It was okay. Just some regular tuff ",No,,6703dfc4ad5997b1fef3dd71,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Mobile Safari/537.36",West Jefferson,NC,28694
2024-10-12 00:44:54,2024-10-12 00:46:30,IP Address,66.41.111.96,100,96,True,2024-10-12 00:46:31,R_62L53KIaZalvKq9,,,,,44.9856,-93.2655,anonymous,EN,6100b6365a3b961d941f7071,25,Female,,White or Caucasian,,Nintendo,Nintendo,"Some of the memes were funny, but a lot of them seemed made to have such a general appeal that they didn't really raise anything particularly insightful or surprisingly funny.",No,,6100b6365a3b961d941f7071,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Minneapolis,MN,55401
2024-10-12 00:41:17,2024-10-12 00:46:56,IP Address,172.58.1.206,100,339,True,2024-10-12 00:46:56,R_3axJ7vdVd5rpyol,,,,,33.7474,-84.3747,anonymous,EN,5c27f83289f035000174a168,26,Male,,Black or African American,,Nintendo switch,"Bose,Nintendo",I liked the funny SpongeBob memes. Especially the one about being worried your coworker would report you to hr. for your dark humor.,No,,5c27f83289f035000174a168,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36 Edg/129.0.0.0",Atlanta,GA,30310
2024-10-12 00:45:38,2024-10-12 00:47:12,IP Address,73.74.247.233,100,93,True,2024-10-12 00:47:13,R_6rFL9Z8HXBTfMtP,,,,,41.7609,-88.0151,anonymous,EN,63d010f71e1bb2f111b4e539,27,Male,,Black or African American,,"Apple, SpongeBob, ",Fitbit,Some of the stuff was actually funny. I only browse for comedy so it was good to me,No,,63d010f71e1bb2f111b4e539,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36",Lombard,IL,60148
2024-10-12 00:46:17,2024-10-12 00:47:15,IP Address,173.169.34.66,100,58,True,2024-10-12 00:47:15,R_5wveEY3qNWYPKE1,,,,,28.0117,-82.582,anonymous,EN,5f1effba0d1bdb07fc88147d,22,Female,,White or Caucasian,,n/a,I do not recall any sponsored posts,I liked the feed and the posts were funny. I didn't notice many ads and was able to easily tune out any ads I did see.,No,,5f1effba0d1bdb07fc88147d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Tampa,FL,33615
2024-10-12 00:46:23,2024-10-12 00:48:14,IP Address,73.153.6.134,100,110,True,2024-10-12 00:48:14,R_1DoxTF0oXZmEnsO,,,,,39.8661,-104.9197,anonymous,EN,660b4557e039545d9750868c,30,Female,,White or Caucasian,,"apple, samsung, bose","Bose,Apple,Samsung",They were all fairly good memes. I laughed a few times. There weren't too many adds,No,,660b4557e039545d9750868c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Thornton,CO,80229
2024-10-12 00:47:06,2024-10-12 00:48:18,IP Address,75.81.138.153,100,71,True,2024-10-12 00:48:19,R_6RgeMFcT3K7GAsz,,,,,38.9321,-94.4983,anonymous,EN,6669b1a813bb274295470882,22,Female,,Native Hawaiian or Other Pacific Islander,,Bose,"Bose,Nintendo,Beats by Dre,Fitbit",The posts were very low quality.,No,,6669b1a813bb274295470882,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:131.0) Gecko/20100101 Firefox/131.0,Kansas City,MO,64134
2024-10-12 00:47:29,2024-10-12 00:49:31,IP Address,148.74.160.171,100,121,True,2024-10-12 00:49:32,R_6fuzhhFNCWpUiXO,,,,,40.9271,-72.6509,anonymous,EN,6706833dcea7f4813f7ebfb6,28,Female,,White or Caucasian,,Bose,Bose,"It was okay, but the memes were not super funny. ",No,,6706833dcea7f4813f7ebfb6,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Mobile/15E148 Safari/604.1",Riverhead,NY,11901
2024-10-12 00:48:06,2024-10-12 00:49:31,IP Address,73.5.212.53,100,85,True,2024-10-12 00:49:32,R_3hAs8lRqCAZtFRQ,,,,,29.1254,-82.0076,anonymous,EN,66be0314cbc4fc351df839a0,18,Female,,"White or Caucasian,Black or African American",,Nintendo,"Bose,Nintendo",I liked that I could actually scroll through the feed and like the different posts. There wasn't anything that I disliked.,No,,66be0314cbc4fc351df839a0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Ocala,FL,34472
2024-10-12 00:49:02,2024-10-12 00:50:06,IP Address,98.180.26.200,100,64,True,2024-10-12 00:50:06,R_6SuTrMCkBjES5Nd,,,,,29.1995,-82.0858,anonymous,EN,5dd6f5c14a113a69437e9d30,25,Female,,White or Caucasian,,"Apple, Nike, etc.","Apple,Nintendo,JBL",I liked most of the stuff posted because I can relate to them.,No,,5dd6f5c14a113a69437e9d30,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Ocala,FL,34470
2024-10-12 00:47:58,2024-10-12 00:50:13,IP Address,98.97.141.64,100,134,True,2024-10-12 00:50:14,R_5t6jedIf4ODGQhD,,,,,34.0544,-118.2441,anonymous,EN,5ddb6cd57cc973aace60252d,29,Female,,Other,,"whoop, I think there was an apple one too?","Apple,Whoop",the feed was okay the memes are pretty old. it's insane i cant remember the ads at all. oh i just remembered another one there was a Nintendo switch lite ad,No,,5ddb6cd57cc973aace60252d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15",Los Angeles,CA,90060
2024-10-12 00:50:23,2024-10-12 00:51:40,IP Address,69.136.24.109,100,76,True,2024-10-12 00:51:40,R_6WUPF8gi6OL4Fi2,,,,,26.6067,-81.9507,anonymous,EN,5c49d7e81d71af000187175e,26,Male,,White or Caucasian,,"Apple, Bose","Bose,Apple",I don't like the memes that were shown.,No,,5c49d7e81d71af000187175e,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",Cape Coral,FL,33904
2024-10-12 00:47:11,2024-10-12 00:52:06,IP Address,24.125.50.202,100,294,True,2024-10-12 00:52:07,R_6VeHbsKxJ8z66ow,,,,,33.7228,-83.9976,anonymous,EN,666cea302aed5d69578ada33,27,Female,,Black or African American,,"Nintendo, Samsung, Whoop, Bose, Apple","Bose,Apple,Nintendo,Whoop,Samsung","For the most part, the Ads were spaced out, which I like. However, towards the end they were only a few normal posts between different ads. I found that a little annoying. The ads being about things I would think of buying made their presence minimally intrusive.",No,,666cea302aed5d69578ada33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Conyers,GA,30012
2024-10-12 00:50:18,2024-10-12 00:52:08,IP Address,107.77.218.124,100,109,True,2024-10-12 00:52:08,R_7mEjqN1RrzS14SR,,,,,29.6918,-95.6526,anonymous,EN,668b37077c15ef8634f2121c,27,Non-binary / third gender,,Other,,"samsung, iphone","Bose,Apple,Nintendo,Samsung",It was kinda boring but slightly funny.,No,,668b37077c15ef8634f2121c,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:132.0) Gecko/20100101 Firefox/132.0,Austin,TX,78754
